Date,단기채로그,중기채로그,ksp로그,iau로그,dbc로그,vnq로그,nsd로그,상승,코스피
2007-08-13,0.00036485586287859917,-0.00018199470374113957,0.011295080061824336,-0.006017764939310055,-0.007075532380040439,-0.004796774399824955,0.03427843345534498,1,1849.260009765625
2007-08-14,0.00011487317891045734,-0.00010328275384452468,-0.017109068417671125,0.0,0.00315088115870088,-0.029120167586064394,-0.01283248144121929,1,1817.8900146484375
2007-08-15,0.0,0.0,0.0,-0.0019636003197658347,0.00744369197439676,-0.017006581339239712,-0.04883611030025037,1,1817.8900146484375
2007-08-16,0.00027559946867938834,0.0015633960079686204,-0.07177706669227835,-0.023249740039267497,-0.01732328185309573,0.03934112727095229,-0.043556983262354354,1,1691.97998046875
2007-08-17,0.00010465730860431677,0.00040124200458180326,-0.03238074246843592,0.008014846611067217,-0.0007945642064721703,0.02243966426461741,0.06843073923503518,1,1638.0699462890625
2007-08-20,0.00042907625532784266,-0.00040429312285539254,0.05533656774347495,-0.000921523953595127,0.002778338514379808,0.018177444931961606,-0.0072704519108222065,1,1731.27001953125
2007-08-21,0.0001544590691722192,0.00014961065265417517,0.002832073920475686,0.0013820042576102587,-0.0015866071471206666,0.0046374736078416134,-0.01566761668146377,1,1736.1800537109375
2007-08-22,0.00014253277350206872,-0.000603418697119551,0.013342349344214632,0.005050900978772699,0.0023788867938008273,0.012072784431381045,0.012490056781259806,1,1759.5
2007-08-23,0.00010994818221909952,-0.0006851602532940149,0.022601403188466485,-0.0036708770886275666,0.0031634211064131,-0.017291818385381852,-0.024812044781794107,1,1799.719970703125
2007-08-24,0.0001419732339851265,0.00012488919973030477,-0.004672744788050132,0.014150093118848073,0.011774074568267068,0.005363827084019945,0.02449377577255163,1,1791.3299560546875
2007-08-27,0.0003793608071447352,-0.000540497968337661,0.006510263086633827,-0.001209357213403095,0.0011697310355063273,-0.021924700488283655,0.018921964302939465,1,1803.030029296875
2007-08-28,8.02283942817894e-05,-0.0010925900576452818,0.01447027933605316,-0.007896782945816305,-0.010577890359429798,-0.031067188165700088,-0.004069633322742128,1,1829.31005859375
2007-08-29,7.820900264832176e-05,-0.0002815696092568487,-0.0017070813542341412,0.008501608328501664,0.00940815932392347,0.03593194049098436,0.01494426463697085,1,1826.18994140625
2007-08-30,0.00015964254855127535,0.0008464448286868986,0.008457234358521859,-0.004393584225234726,0.001948977937502594,0.005133764002455354,-0.010874631314228722,1,1841.699951171875
2007-08-31,3.626071484141846e-05,-0.0014931000865026078,0.01698051511215226,0.01177373127518866,0.0003892765460395964,0.016397662017113124,0.020102625515674877,1,1873.239990234375
2007-09-03,0.0004166177301652141,-0.0002819970319212217,0.004564564055278275,0.0,0.0,0.0,0.0,1,1881.81005859375
