거래일,단기채,중기채,장기채,kospi_pct,단기채누적,중기채누적,장기채누적,kospi누적
2008-12-24,0.00026554206239655305,0.0017333108312545269,0.0028310575877283223,-0.013807447282641938,0.30599125276848327,0.33023713683712963,0.33504593504375624,0.9995687869857326
2008-12-26,0.000488919994680448,0.0013758491183841226,0.002702461706360227,-0.009437222532365785,0.3064801727631637,0.33161298595551375,0.3377483967501165,0.9901315644533668
2008-12-29,0.0006678314543637721,0.0019105209859316033,0.002540956175728954,-0.00024153292898931866,0.30714800421752747,0.33352350694144534,0.34028935292584545,0.9898900315243775
2008-12-30,0.00044991354509217525,0.004575906823223987,0.009894920964758948,0.006156103758981457,0.30759791776261963,0.33809941376466934,0.3501842738906044,0.996046135283359
2009-01-02,0.0009242586272503144,0.003324202002507625,0.006379055776203044,0.02928490755644897,0.30852217638986995,0.34142361576717695,0.3565633296668075,1.025331042839808
2009-01-05,0.00156350447993275,0.005507562239949364,0.010184585604866365,0.01397096941420406,0.3100856808698027,0.3469311780071263,0.36674791527167383,1.039302012254012
2009-01-06,0.000705803396448292,0.0031054608648424086,0.006384835382889361,0.01764700869994984,0.310791484266251,0.35003663887196873,0.3731327506545632,1.0569490209539618
2009-01-07,0.0005253836648908223,0.00026969988567736167,-0.0006119911044770563,0.02837693003315822,0.31131686793114177,0.3503063387576461,0.3725207595500861,1.08532595098712
2009-01-08,0.0015982923546387518,0.004610856116925331,0.007758225148036634,-0.018295512836170924,0.31291516028578054,0.35491719487457146,0.38027898469812277,1.0670304381509492
2009-01-09,0.00020915823746894466,-0.0026670713427617526,-0.007221015733824297,-0.02051920046446054,0.31312431852324946,0.35225012353180973,0.3730579689642985,1.0465112376864887
2009-01-12,0.000551823181834226,0.0017187566616468921,0.0024731608694153616,-0.020500270965993828,0.3136761417050837,0.3539688801934566,0.37553112983371384,1.0260109667204949
2009-01-13,0.00046031000241254056,0.002586705921458573,0.005330807351224035,0.009474821698724822,0.3141364517074962,0.3565555861149152,0.3808619371849379,1.0354857884192197
2009-01-14,0.0010663235926529973,0.004381941747318984,0.009163096426159912,0.012819963860890127,0.31520277530014923,0.3609375278622342,0.3900250336110978,1.0483057522801098
2009-01-15,0.00018058018783420406,-0.0007300027067996172,-0.002405855066690304,-0.060320627726857756,0.3153833554879834,0.3602075251554346,0.3876191785444075,0.987985124553252
2009-01-16,1.1837281164186034e-06,-0.001335842170721844,-0.003664509490673518,0.021469577267083206,0.3153845392160998,0.3588716829847127,0.383954669053734,1.0094547018203353
