Date,Date,단기채로그,중기채로그,ksp로그,iau로그,dbc로그,vnq로그,nsd로그,상승,코스피,유동성기법,레버리지기법,그레이엄기법,린치기법,버핏기법,삼대투자기법,성장성기법,수익성기법,시장가치기법,활동성기법,단기채w,중기채w,kspw,iauw,dbcw,vnqw,nsdw,금액,kospi,유동성추이,레버리지추이,성장성추이,수익성추이,시장가치추이,활동성추이,그레이엄추이,린치추이,버핏추이,삼대투자추이
2019-01-31,2019-01-31,5.87089382921846e-05,0.0005864712228209,-0.0006120327553844,0.0007914704568827,-0.0051413694047841,0.0103640661957937,0.0154528484567144,0.0,2204.85009765625,-0.0006120327553844,-0.0006120327553844,-0.0006120327553844,-0.0006120327553844,-0.0006120327553844,-0.0006120327553844,-0.0006120327553844,-0.0006120327553844,-0.0006120327553844,-0.0006120327553844,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10569.21026578402,11076.196818696162,10557.9835202009,10429.465471830095,10588.226298439044,10408.453691618764,10515.235275687195,10349.67277627387,10610.569581924445,10522.376597164206,10429.979278418848
2019-02-01,2019-02-01,6.16738450922582e-05,0.0002008194784366,-0.0006306891966998,-0.0015835678354729,0.008980107873441,-0.0063745766594633,-0.0075249506837717,0.0,2203.4599609375,-0.0006306891966998,-0.0006306891966998,-0.0006306891966998,-0.0006306891966998,-0.0006306891966998,-0.0006306891966998,-0.0006306891966998,-0.0006306891966998,-0.0006306891966998,-0.0006306891966998,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10561.57902199433,11068.199517473035,10550.360382412546,10421.93512740414,10580.581324580839,10400.938518242796,10507.64300323951,10342.200044242514,10602.908475636374,10514.779168497294,10422.448563011218
2019-02-07,2019-02-07,0.0003289506739729,0.000498705798563,-1.81711612592394e-05,0.0031923380010603,-0.0096494472262942,0.0082365093539378,-0.0012663456358694,0.0,2203.419921875,-1.81711612592394e-05,-1.81711612592394e-05,-1.81711612592394e-05,-1.81711612592394e-05,-1.81711612592394e-05,-1.81711612592394e-05,-1.81711612592394e-05,-1.81711612592394e-05,-1.81711612592394e-05,-1.81711612592394e-05,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10567.736362656253,11074.652215010146,10556.511182671227,10428.011056467612,10586.749743477385,10407.002206402225,10513.768899508439,10348.22948820478,10609.08991113534,10520.90922511009,10428.524791404734
2019-02-08,2019-02-08,9.45348431464765e-05,0.0005222945209517,-0.0120398915040222,0.0031821794002349,0.0012919979712902,0.0,0.0027605862951647,0.0,2177.05004882812,-0.0120398915040222,-0.0120398915040222,-0.0120398915040222,-0.0120398915040222,-0.0120398915040222,-0.0120398915040222,-0.0120398915040222,-0.0120398915040222,-0.0120398915040222,-0.0120398915040222,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10569.251689337136,11076.24022926476,10558.024899753409,10429.506347686105,10588.267796521064,10408.494485124005,10515.276487697936,10349.71333940103,10610.61116757575,10522.41783716369,10430.020156288601
2019-02-11,2019-02-11,0.000140912301342,0.0002740767462121,0.0016889023725852,-0.0047771125792062,-0.0058271502896714,0.0027304625409483,-0.0041436499122085,0.0,2180.72998046875,0.0016889023725852,0.0016889023725852,0.0016889023725852,0.0016889023725852,0.0016889023725852,0.0016889023725852,0.0016889023725852,0.0016889023725852,0.0016889023725852,0.0016889023725852,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10556.157366746562,11062.517794894216,10544.94448611389,10416.585156613059,10575.14991473735,10395.599325799913,10502.249035376226,10336.891004464793,10597.46560442755,10509.38153737232,10417.098328654349
2019-02-12,2019-02-12,4.47943742098999e-05,-0.0002523705838672,0.0044564451238899,0.0023914468522066,0.0058271502896714,-0.0063033136559766,0.0099845075088715,0.0,2190.46997070312,0.0044564451238899,0.0044564451238899,0.0044564451238899,0.0044564451238899,0.0044564451238899,0.0044564451238899,0.0044564451238899,0.0044564451238899,0.0044564451238899,0.0044564451238899,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10572.364535057202,11079.502392756134,10561.134438970334,10432.578035744167,10591.38624284651,10411.559984788759,10518.373436694153,10352.76152689996,10613.736194449093,10525.516889423196,10433.091995673072
2019-02-13,2019-02-13,5.3097063132057e-05,-0.0001744389323476,0.0050137332855415,-0.0039888516742956,0.0057933912332961,0.0051168916935626,0.0047848478094421,0.0,2201.47998046875,0.0050137332855415,0.0050137332855415,0.0050137332855415,0.0050137332855415,0.0050137332855415,0.0050137332855415,0.0050137332855415,0.0050137332855415,0.0050137332855415,0.0050137332855415,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10582.785447236267,11090.423177887958,10571.544281927872,10442.861163908283,10601.825904241583,10421.822395991927,10528.741131213857,10362.965981951136,10624.197885625876,10535.891625063481,10443.375630434482
2019-02-14,2019-02-14,5.32028108555238e-05,0.000448648541127,0.0110090564262304,0.0055799024328635,0.0025640580217078,0.003199620451868,-0.009477814012917,0.0,2225.85009765625,0.0110090564262304,0.0110090564262304,0.0110090564262304,0.0110090564262304,0.0110090564262304,0.0110090564262304,0.0110090564262304,0.0110090564262304,0.0110090564262304,0.0110090564262304,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10600.147632749353,11108.618197109801,10588.888025113232,10459.99378874691,10619.21932765025,10438.920504493304,10546.014651276304,10379.967530243075,10641.628012650339,10553.176876271886,10460.509099310184
2019-02-15,2019-02-15,7.10600839841646e-05,0.0005061354869511,-0.0134603625763469,0.0063391594556811,0.0183957219168711,0.0067214653645253,0.0068603634581911,0.0,2196.09008789062,-0.0134603625763469,-0.0134603625763469,-0.0134603625763469,-0.0134603625763469,-0.0134603625763469,-0.0134603625763469,-0.0134603625763469,-0.0134603625763469,-0.0134603625763469,-0.0134603625763469,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10631.749720001015,11141.73618128069,10620.4565442378,10491.178037100448,10650.878273106833,10470.041927328675,10577.455352548923,10410.913197315362,10673.353764838592,10584.638930196097,10491.694883952645
2019-02-18,2019-02-18,0.0001194182130053,-0.0003149086446363,0.0067165543708274,0.0,0.0,0.0,0.0,0.0,2210.88989257812,0.0067165543708274,0.0067165543708274,0.0067165543708274,0.0067165543708274,0.0067165543708274,0.0067165543708274,0.0067165543708274,0.0067165543708274,0.0067165543708274,0.0067165543708274,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10636.89400294098,11147.12722648665,10625.59536285694,10496.254302966157,10656.031811596638,10475.107966267324,10582.573364593167,10415.950626201566,10678.518178329381,10589.760418089276,10496.771399900092
